FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Hubei,Mainland China,2020-03-09T14:33:03,30.9756,112.2707,67743,3008,46488,,
,,,Italy,2020-03-09T18:13:11,43,12,9172,463,724,,
,,,South Korea,2020-03-09T09:03:03,36,128,7478,53,118,,
,,,Iran,2020-03-09T10:53:03,32,53,7161,237,2394,,
,,Guangdong,Mainland China,2020-03-09T01:43:01,23.3417,113.4244,1352,8,1260,,
,,Henan,Mainland China,2020-03-08T05:03:02,33.882,113.614,1272,22,1247,,
,,Zhejiang,Mainland China,2020-03-09T09:43:03,29.1832,120.0934,1215,1,1176,,
,,,France,2020-03-09T00:43:03,47,2,1209,19,12,,
,,,Germany,2020-03-09T18:13:11,51,9,1176,2,18,,
,,,Spain,2020-03-09T18:13:11,40,-4,1073,28,32,,
,,Hunan,Mainland China,2020-03-09T01:33:06,27.6104,111.7088,1018,4,979,,
,,Anhui,Mainland China,2020-03-08T05:13:06,31.8257,117.2264,990,6,984,,
,,Jiangxi,Mainland China,2020-03-09T01:53:01,27.614,115.7221,935,1,923,,
,,Shandong,Mainland China,2020-03-09T10:13:06,36.3427,118.1498,758,6,700,,
,,Diamond Princess cruise ship,Others,2020-03-06T01:29:39,35.4437,139.638,696,6,40,,
,,Jiangsu,Mainland China,2020-03-09T08:53:03,32.9711,119.455,631,0,621,,
,,Chongqing,Mainland China,2020-03-09T23:13:03,30.0572,107.874,576,6,542,,
,,Sichuan,Mainland China,2020-03-09T08:53:03,30.6171,102.7103,539,3,466,,
,,,Japan,2020-03-09T09:13:17,36,138,511,17,76,,
,,Heilongjiang,Mainland China,2020-03-09T14:33:03,47.862,127.7615,481,13,430,,
,,Beijing,Mainland China,2020-03-09T01:53:01,40.1824,116.4142,428,8,315,,
,,,Switzerland,2020-03-09T11:33:10,46.8182,8.2275,374,2,3,,
,,Shanghai,Mainland China,2020-03-09T04:03:11,31.202,121.4491,342,3,315,,
,,,Netherlands,2020-03-09T18:13:11,52.1326,5.2913,321,3,0,,
,,,UK,2020-03-09T18:33:03,55,-3,321,4,18,,
,,Hebei,Mainland China,2020-03-07T13:03:05,38.0428,114.5149,318,6,307,,
,,Fujian,Mainland China,2020-03-07T13:03:05,26.0789,117.9874,296,1,295,,
,,Guangxi,Mainland China,2020-03-09T00:23:09,23.8298,108.7881,252,2,230,,
,,,Sweden,2020-03-09T18:33:03,63,16,248,0,1,,
,,Shaanxi,Mainland China,2020-03-08T14:43:03,35.1917,108.8701,245,1,227,,
,,,Belgium,2020-03-09T10:43:05,50.8333,4,239,0,1,,
,,,Norway,2020-03-09T18:33:03,60.472,8.4689,205,0,1,,
,,Yunnan,Mainland China,2020-03-06T03:23:06,24.974,101.487,174,2,170,,
,,Hainan,Mainland China,2020-03-08T04:33:02,19.1959,109.7453,168,6,159,,
,,,Singapore,2020-03-08T13:33:13,1.2833,103.8333,150,0,78,,
,,Guizhou,Mainland China,2020-03-09T01:13:05,26.8154,106.8748,146,2,123,,
,,Tianjin,Mainland China,2020-03-09T10:13:06,39.3054,117.323,136,3,130,,
,,Shanxi,Mainland China,2020-03-09T11:43:02,37.5777,112.2922,133,0,127,,
,,,Austria,2020-03-09T18:33:03,47.5162,14.5501,131,0,2,,
,,Liaoning,Mainland China,2020-03-08T05:13:06,41.2956,122.6085,125,1,109,,
,,Gansu,Mainland China,2020-03-09T14:33:03,36.0611,103.8343,124,2,88,,
,,,Malaysia,2020-03-09T09:43:03,2.5,112.5,117,0,24,,
,,Hong Kong,Hong Kong,2020-03-09T10:03:17,22.3,114.2,115,3,59,,
,,"Westchester County, NY",US,2020-03-09T17:13:16,41.122,-73.7949,98,0,0,,
,,,Bahrain,2020-03-09T10:03:17,26.0275,50.55,95,0,14,,
,,Jilin,Mainland China,2020-03-09T14:33:03,43.6661,126.1923,93,1,91,,
,,,Denmark,2020-03-09T18:13:11,56.2639,9.5018,90,0,1,,
,,"King County, WA",US,2020-03-08T20:23:09,47.548,-121.9836,83,17,1,,
,,Xinjiang,Mainland China,2020-03-08T05:33:02,41.1129,85.2401,76,3,73,,
,,Inner Mongolia,Mainland China,2020-03-08T05:13:06,44.0935,113.9448,75,1,70,,
,,Ningxia,Mainland China,2020-03-06T12:53:03,37.2692,106.1655,75,0,71,,
,,,Greece,2020-03-08T17:23:07,39.0742,21.8243,73,0,0,,
,,,Kuwait,2020-03-08T15:33:04,29.5,47.75,64,0,1,,
,,,Iraq,2020-03-09T23:33:02,33,44,60,6,9,,
,,,Iceland,2020-03-09T10:03:17,64.9631,-19.0208,58,0,0,,
,,,Egypt,2020-03-09T10:03:17,26,30,55,1,12,,
,,,Thailand,2020-03-07T10:13:23,15,101,50,1,31,,
,,New South Wales,Australia,2020-03-09T18:53:13,-33.8688,151.2093,48,3,4,,
,,Taiwan,Taiwan,2020-03-09T00:33:14,23.7,121,45,1,15,,
,,Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,35.4437,139.638,45,0,0,,
,,,United Arab Emirates,2020-03-07T10:13:22,24,54,45,0,7,,
,,,India,2020-03-09T09:13:17,21,78,43,0,3,,
,,,Israel,2020-03-08T21:03:03,31,35,39,0,2,,
,,"Santa Clara County, CA",US,2020-03-08T21:23:03,37.3541,-121.9552,38,0,1,,
,,,San Marino,2020-03-08T14:23:10,43.9424,12.4578,36,1,0,,
,,Ontario,Canada,2020-03-09T17:53:24,51.2538,-85.3232,34,0,4,,
,,British Columbia,Canada,2020-03-09T22:43:25,53.7267,-127.6476,32,1,4,,
,,,Lebanon,2020-03-08T18:13:19,33.8547,35.8623,32,0,1,,
,,,Czech Republic,2020-03-08T19:53:03,49.8175,15.473,31,0,0,,
,,"Snohomish County, WA",US,2020-03-08T21:43:03,48.033,-121.8339,31,1,0,,
,,,Finland,2020-03-09T09:23:03,64,26,30,0,1,,
,,,Portugal,2020-03-08T19:53:03,39.3999,-8.2245,30,0,0,,
,,,Vietnam,2020-03-08T19:53:03,16,108,30,0,16,,
,,,Brazil,2020-03-09T10:13:06,-14.235,-51.9253,25,0,0,,
,,,Palestine,2020-03-07T02:23:06,31.9522,35.2332,22,0,0,,
,,,Ireland,2020-03-09T09:53:06,53.1424,-7.6921,21,0,0,,
,,Grand Princess Cruise Ship,US,2020-03-07T01:33:02,37.6489,-122.6655,21,0,0,,
,,,Algeria,2020-03-09T10:13:06,28.0339,1.6596,20,0,0,,
,,,Philippines,2020-03-09T09:23:03,13,122,20,1,1,,
,,,Indonesia,2020-03-09T11:33:10,-0.7893,113.9213,19,0,0,,
,,"New York County, NY",US,2020-03-09T17:13:16,40.7128,-74.006,19,0,0,,
,,Qinghai,Mainland China,2020-02-21T04:43:02,35.7452,95.9956,18,0,18,,
,,,Qatar,2020-03-09T10:13:09,25.3548,51.1839,18,0,0,,
,,,Russia,2020-03-08T21:03:03,60,90,17,0,3,,
,,"Nassau County, NY",US,2020-03-09T17:13:14,40.6546,-73.5594,17,0,0,,
,,,Oman,2020-03-05T17:53:02,21,57,16,0,2,,
,,,Poland,2020-03-09T11:33:10,51.9194,19.1451,16,0,0,,
,,,Slovenia,2020-03-08T17:03:16,46.1512,14.9955,16,0,0,,
,,Queensland,Australia,2020-03-08T05:43:04,-28.0167,153.4,15,0,8,,
,,Victoria,Australia,2020-03-09T18:33:03,-37.8136,144.9631,15,0,7,,
,,,Ecuador,2020-03-09T09:03:03,-1.8312,-78.1834,15,0,0,,
,,,Georgia,2020-03-09T10:13:06,42.3154,43.3569,15,0,0,,
,,,Romania,2020-03-08T17:23:07,46,25,15,0,3,,
,,,Saudi Arabia,2020-03-09T09:03:03,24,45,15,0,0,,
,,"Los Angeles, CA",US,2020-03-08T01:13:48,34.0522,-118.2437,14,0,0,,
,,,Argentina,2020-03-08T22:03:11,-38.4161,-63.6167,12,1,0,,
,,,Croatia,2020-03-07T10:13:23,45.1667,15.5,12,0,0,,
,,"Contra Costa County, CA",US,2020-03-08T21:43:03,37.8534,-121.9018,12,0,0,,
,,,Estonia,2020-03-06T13:03:13,58.5953,25.0136,10,0,0,,
,,Macau,Macau,2020-03-06T10:23:03,22.1667,113.55,10,0,10,,
,,,Azerbaijan,2020-03-07T02:13:09,40.1431,47.5769,9,0,0,,
,,,Costa Rica,2020-03-09T09:03:03,9.7489,-83.7534,9,0,0,,
,,,Hungary,2020-03-09T09:43:03,47.1625,19.5033,9,0,0,,
,,"San Francisco County, CA",US,2020-03-08T01:23:12,37.7749,-122.4194,9,0,0,,
,,,Chile,2020-03-08T15:43:03,-35.6751,-71.543,8,0,0,,
,,"Suffolk County, MA",US,2020-03-08T21:13:14,42.3601,-71.0589,8,0,1,,
,,"Washington County, OR",US,2020-03-08T19:43:03,45.547,-123.1386,8,0,0,,
